Year,Lbs
2020,3828150000
2019,3736753000
2018,3801724000
2017,3721468000
2016,3434498000
2015,3393111000
2014,3317038000
2013,3189839000
2012,3143443000
2011,3096350000
2010,3234991000
2009,3205210000
2008,3186454000
2007,3056668000
2006,3124001000
2005,3045971000
2004,3004477000
2003,2701064000
2002,2822099000
2001,2746691000
2000,2819023000
1999,2809534000
1998,2633446000
1997,2639881000
1996,2545094000
1995,2415248000
1994,2345847000
1993,2376108000
1992,2400700000
1991,2266407000
1990,2379794000
1989,2221204000
1988,2279164000
1987,2284836000
1986,2241624000
1985,2291656000
1984,2112947000
1983,2351360000
1982,2157476000
1981,1933126000
1980,1750697000
1979,1597326000
1978,1505522000
1977,1517541000
1976,1524052000
1975,1204994000
1974,1401846000
1973,1308266000
1972,1299832000
1971,1224884000
1970,1182386000
1969,1058099000
1968,1050170000
1967,1103032000
1966,1042204000
1965,1007761000
1964,1009100000
1963,965300000
1962,954921000
1961,1021241000
1960,894322000
1959,849145000
1958,882529000
1957,926746000
1956,889284000
1955,919932000
1954,970444000
1953,967007000
1952,795002000
1951,829816000
1950,846778000
