Year,Month,AvgTemp,kWh,Therms
2019,Aug,77,859,
2019,Sep,69,605,
2019,Oct,67,527,
2019,Nov,44,541,
2019,Dec,32,528,
2020,Jan,26,545,201
2020,Feb,23,421,182
2020,Mar,28,377,162
2020,Apr,42,315,85
2020,May,49,323,58
2020,Jun,67,529,21
2020,Jul,74,747,13
2020,Aug,74,671,13
2020,Sep,72,796,12
2020,Oct,59,566,17
2020,Nov,45,524,67
2020,Dec,38,481,117
2021,Jan,26,595,179
2021,Feb,19,420,184
2021,Mar,24,398,178
2021,Apr,48,329,70
2021,May,50,332,46
2021,Jun,68,855,27
2021,Jul,75,877,21
2021,Aug,75,514,10
2021,Sep,73,595,14
2021,Oct,67,452,12
2021,Nov,52,549,40
2021,Dec,35,471,124
