"weekstart","ncases"
2021-01-02,155
2021-01-09,125
2021-01-16,85
2021-01-23,52
2021-01-30,66
2021-02-06,43
2021-02-13,29
2021-02-20,38
2021-02-27,42
2021-03-06,33
2021-03-13,22
2021-03-20,33
2021-03-27,22
2021-04-03,31
2021-04-10,37
2021-04-17,30
2021-04-24,48
2021-05-01,56
2021-05-08,33
2021-05-15,29
2021-05-22,17
2021-05-29,10
2021-06-05,7
2021-06-12,4
2021-06-19,2
2021-06-26,4
2021-07-03,11
2021-07-10,0
2021-07-17,6
2021-07-24,29
2021-07-31,28
2021-08-07,107
2021-08-14,106
2021-08-21,168
2021-08-28,152
2021-09-04,155
2021-09-11,164
2021-09-18,104
2021-09-25,125
2021-10-02,152
2021-10-09,111
2021-10-16,82
2021-10-23,114
2021-10-30,186
2021-11-06,236
2021-11-13,224
2021-11-20,149
2021-11-27,124
2021-12-04,190
2021-12-11,545
2021-12-18,256
2021-12-25,325
